section,photo_location,image_url,caption,photographer
section-21,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_022A.jpg,"Top Left: Boston-based artist Cedric Douglas works on a new public art installation on the side of Behrakis Health Sciences Center on May 18, 2016. Top Right: Guevara Noubir poses for a portrait on Aug. 2, 2016. Bottom Left: Boston-based artist Cedric Douglas works on a new public art installation on the side of Behrakis Health Sciences Center at Northeastern University on May 13, 2016. Bottom Right: A student is seen after the 5k Color Run sponsored by NUterm and CSI on June 22, 2016. ",Top left and top right photo by Adam Glanzman. Bottom left and bottom right photo by Matthew Modoono
section-21,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_021.jpg,,
section-21,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_020.jpg,,
section-21,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_019.jpg,,
individual,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_018.jpg,"Valkyrie, NASA's humanoid robot prototype that Northeastern researchers will perform advanced research and development on, arrived at UMass Lowell on April 6, 2016. ",Photo by Matthew Modoono
section-22,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_017.jpg,"Top Left: Construction continued on the Interdisciplinary Science and Engineering Complex (ISEC) on Columbus Avenue at Northeastern University Sept. 29, 2016. Top Right: Members of the Northeastern community tour the Interdisciplinary Science and Engineering Complex building on Feb. 25, 2015. Bottom Left: Construction continued on the Interdisciplinary Science and Engineering Complex (ISEC) on Columbus Avenue at Northeastern University Sept. 29, 2016. Bottom Right: Construction continued on the Interdisciplinary Science and Engineering Complex (ISEC) on Columbus Avenue at Northeastern University Sept. 29, 2016. ",Top left and bottom left photo by Matthew Modoono. Top right and bottom right photo by Adam Glanzman
section-22,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_016.jpg,,
section-22,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_015.jpg,,
section-22,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_014.jpg,,
section-23,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_013.jpg,"Top Left: Students walk a snowy campus on Feb. 5, 2016. Top Right: Students play football in the snow by West Village during a snow day on Feb. 8, 2016. Bottom Left: A student walks through campus during a snow storm on Feb. 5, 2016. Bottom Right: Students take pictures during a snow storm on Feb. 5, 2016. ",Top left and bottom right photo by Matthew Modoono. Top right and bottom left photo by Adam Glanzman
section-23,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_012.jpg,,
section-23,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_011.jpg,,
section-23,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_010.jpg,,
section-24,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Photos_of_the_Year_009.jpg,"Elliott Bowles is a student pilot who flies planes in his free time, seen on Feb. 18, 2016. ",Photos by Adam Glanzman
